frequencia,Vpp1,Vpp2,fase,T,T_dB
10.0,1.7220908403,1.6895985603,-0.0,0.962620149525852,-0.16545051929069785
10.974987654930562,1.7599828243,1.7275904417,-0.1975850761,0.9635288570001517,-0.16135274004626282
12.045035402587823,1.8087198734,1.7760967016,-0.6498194933,0.9642521027268545,-0.15809405402885884
13.219411484660288,1.8365471363,1.8140127659,-0.9504950047,0.975610620624756,-0.10723480546068602
14.508287784959395,1.8758238554,1.8415744305,-0.2088772804,0.9638166920373649,-0.1600555656049503
15.922827933410922,1.916436553,1.8701889515,-0.9171974659,0.9523181959733213,-0.2121791751245866
17.47528400007684,1.9459201097,1.8986047506,-0.2515723109,0.9519609067195991,-0.21380886011074507
19.179102616724887,1.951834321,1.9163508415,-0.2760736346,0.9639713861088366,-0.1593585721695295
21.049041445120206,1.969848752,1.9458332062,-0.6060606241,0.9757654975377078,-0.10654542335557195
23.101297000831604,2.0003035069,1.9637942314,-0.6648199558,0.9638293947521165,-0.1599983277233733
25.353644939701113,1.9941487312,1.9819229841,-1.0953347683,0.9877759667143614,-0.053415447368414797
27.825594022071243,2.0125584602,2.0002188683,-2.4000000954,0.9877750005306762,-0.05341969538074079
30.538555088334157,2.0185987949,2.0063757896,-1.7582417727,0.9879262793550654,-0.052754619547078184
33.516026509388425,2.0373833179,2.0125515461,-2.1715817451,0.9757724077852693,-0.10651466727979836
36.783797718286344,2.043649435,2.0187468529,-2.3823530674,0.9757777842460508,-0.1064907379208805
40.37017258596554,2.037364006,2.0249550343,-2.3282134533,0.9878556978474038,-0.05306490843186985
44.30621457583882,2.0562450886,2.0311825275,-2.8697962761,0.9757715423940351,-0.10651851894440144
48.62601580065353,2.0499155521,2.0374293327,-3.8558909893,0.9878549220758107,-0.05306831898520385
53.3669923120631,2.0560665131,2.0436954498,-3.0736391544,0.988002483629161,-0.05241963686578366
58.570208180566674,2.0624740124,2.0245153904,-3.7939109802,0.9635298978703941,-0.1613480485006467
64.28073117284322,2.0434377193,2.0310602188,-5.3213372231,0.9879222998410033,-0.05277211361029748
70.54802310718645,2.0498054028,2.0373067856,-5.5932202339,0.9878422485949218,-0.05312403625704454
77.4263682681127,2.0561103821,2.0435731411,-5.5684456825,0.9878420751471185,-0.053124798802183314
84.97534359086447,2.0624349117,2.0243945122,-7.3344655037,0.9634513720813868,-0.16170200437353097
93.26033468832199,2.0560910702,2.0309379101,-7.3880596161,0.9756826873538502,-0.10691401121964919
102.35310218990269,2.0624155998,2.0246911049,-7.7300610542,0.9637517503736684,-0.16034820171144687
112.33240329780277,2.0560715199,2.0184633732,-8.089887619,0.9637520425997705,-0.16034688485610193
123.28467394420659,2.0494337082,2.0120959282,-10.6535139084,0.9638947489613132,-0.15970385641608875
135.30477745798075,2.0558991432,2.0059828758,-10.2300395966,0.9520304332271076,-0.21349168452347378
148.4968262254465,2.0495722294,1.9871567488,-10.4875154495,0.9400215200296327,-0.26862203928876727
162.97508346206433,2.0429568291,1.9932683706,-13.1335496902,0.9519478820489002,-0.21386828042170303
178.8649529057435,2.0366718769,1.9748711586,-14.699139595,0.940232808928732,-0.2676459840611396
196.30406500402725,2.0304064751,1.9444870949,-15.2710132599,0.9171579837055982,-0.3755584912610755
215.44346900318845,2.0366528034,1.9265389442,-16.4341087341,0.8947909570414684,-0.4827841363087889
236.4489412645407,2.0303871632,1.9087581635,-17.3863620758,0.883779852965947,-0.5365590302881339
259.5024211399737,2.0367918015,1.8793916702,-20.207901001,0.8514150426093584,-0.6985868107393246
284.8035868435802,2.0305254459,1.8389824629,-22.1412296295,0.8202350109322593,-0.860616972160842
312.5715849688235,2.0368518829,1.7880575657,-25.2000007629,0.7706267772151443,-1.1315590449154391
343.04692863149194,2.0055167675,1.7385408878,-26.6666660309,0.7514796483682172,-1.240827765156143
376.49358067924715,2.0118432045,1.6903935671,-29.0060253143,0.7059718784283983,-1.5121259822101787
413.20124001153386,1.9931968451,1.6123776436,-31.8347091675,0.6543847253375216,-1.841668465296563
453.4878508128582,1.9870661497,1.5375885963,-35.5434761047,0.5987639552504356,-2.2274435146025353
497.7023564332114,1.980948925,1.4382388592,-38.0079689026,0.5271272657544155,-2.780845192423868
546.2277217684342,1.9626607895,1.3285976648,-41.4855270386,0.45824367295414187,-3.3890352269978283
599.4842503189409,1.9324672222,1.1711730957,-45.7553939819,0.36729744028163447,-4.349820982690134
657.9332246575682,1.9385632277,1.019033432,-49.6714897156,0.2763229291269735,-5.5858307606737
722.0809018385471,1.9087359905,0.8591217399,-53.5064888,0.2025898546367258,-6.933823071771673
792.4828983539178,1.9028608799,0.6809248924,-56.1520004272,0.12805140449219937,-8.926156537448138
869.7490026177834,1.8852992058,0.4924928248,-55.4569206238,0.06824003580118769,-11.659607539939012
954.5484566618347,1.891246438,0.3061055839,-48.1375350952,0.02619668016101675,-15.817537422338589
1047.615752789665,1.8733570576,0.1737487614,-12.6282730103,0.008602056941264584,-20.65397686962681
1149.7569953977368,1.8910866976,0.2443814427,40.5983924866,0.01669988841317703,-17.772864307508225
1261.856883066021,1.8848369122,0.4207403362,55.0000038147,0.04982883605514653,-13.025192573348823
1384.886371393873,1.8908543587,0.6122020483,57.420249939,0.10482705830448007,-9.79526601364159
1519.9110829529347,1.9310740232,0.8057914972,53.617023468,0.17411954242417743,-7.591524828132604
1668.100537200059,1.9489011765,0.9750134349,50.3135414124,0.2502888854540465,-6.015584356221026
1830.7382802953698,1.9668935537,1.1300525665,47.1459999084,0.3300924400391859,-4.813644220097736
2009.2330025650479,1.9850515127,1.2647104263,42.8295822144,0.4059183038587872,-3.915613648304354
2205.1307399030457,1.9911570549,1.4292201996,39.9823532104,0.5152135275496776,-2.880127425755518
2420.1282647943835,2.0095374584,1.5319553614,36.2790718079,0.5811657470333746,-2.3569999023218116
2656.0877829466867,2.0280895233,1.6215161085,32.4840774536,0.6392464010936114,-1.9433170833813094
2915.0530628251786,2.0215342045,1.7077248096,30.1395359039,0.7136308031098729,-1.465264123708294
3199.2671377973843,2.0277531147,1.764931798,27.6214828491,0.7575751160205939,-1.205742989895106
3511.1917342151346,2.0471038818,1.8252160549,24.5052623749,0.7949664433316734,-0.996512031466298
3853.5285937105314,2.0660033226,1.8752014637,22.4480381012,0.8238228533897862,-0.8416616459687336
4229.242874389499,2.059648037,1.9040504694,20.2709579468,0.8546157394209224,-0.682291130625742
4641.588833612782,2.0656707287,1.9328267574,18.5601482391,0.8755151539552372,-0.5773633247924236
5094.138014816381,2.0720245838,1.9625623226,16.4801635742,0.8971335665615784,-0.4714289374259028
5590.8101825122285,2.078397274,2.0053651333,15.5120306015,0.9309573631405205,-0.3107020878967732
6135.907273413176,2.0851109028,1.9988833666,13.014705658,0.9190022821165924,-0.3668341014880435
6734.150657750828,2.0785343647,2.0301058292,12.6060609818,0.9539441260188469,-0.20477061849704092
7390.7220335257825,2.0715000629,2.0365886688,10.9171600342,0.9665776405638282,-0.14763255433495032
8111.308307896872,2.0910282135,2.0425393581,11.0858983994,0.9541597277056026,-0.20378917691499326
8902.150854450392,2.0847551823,2.0488233566,8.9759569168,0.9658260362921041,-0.1510109126785445
9770.099572992256,2.0780982971,2.0680513382,9.1585130692,0.9903539962923446,-0.04209541607891382
10722.672220103253,2.0977656841,2.0610532761,6.9379019737,0.9653048369456494,-0.15335517643373364
11768.119524349991,2.0780792236,2.0678784847,6.992348671,0.9902066269412253,-0.0427417148628044
12915.496650148827,2.0716874599,2.0742399693,6.0543336868,1.0024657019097267,0.010695227125117767
14174.741629268077,2.0780601501,2.0803050995,5.6090650558,1.0021617873002036,0.009378389561955892
15556.761439304722,2.0846977234,2.0739068985,4.7014927864,0.989674381074243,-0.04507671830673572
17073.526474706923,2.0911104679,2.0933697224,4.6817245483,1.0021619852170505,0.009379247249677486
18738.174228603868,2.0846784115,2.073887825,4.0419163704,0.9896745132011445,-0.04507613850006886
20565.123083486516,2.077624321,2.0671834946,2.9605264664,0.9899745186863264,-0.04375983721985291
22570.197196339213,2.0715584755,2.0740289688,3.5804700851,1.0023865765375815,0.010352421693630428
24770.76355991714,2.0779328346,2.0804095268,2.1386139393,1.0023852245326397,0.01034656398667937
27185.8824273294,2.0715391636,2.0740096569,1.9554591179,1.0023865987996725,0.010352518146470297
29836.472402833402,2.0779137611,2.0803904533,0.8612440228,1.0023852464400347,0.01034665890288951
32745.491628777316,2.0843071938,2.0869529247,0.9448818564,1.0025403262024062,0.011018507136122048
35938.13663804626,2.0645859241,2.0933735371,0.5179855824,1.0280814793078374,0.12027535487573064
39442.06059437664,2.0712611675,2.0739712715,0.283911705,1.002618575615373,0.011357465691975852
43287.612810830615,2.0776340961,2.0673499107,-0.6220301986,0.9901246015203116,-0.043101484856702565
47508.101621027934,2.0714049339,2.0609898567,-0.0,0.9899692296835148,-0.043783039745053404
52140.08287999695,2.0774621964,2.05432868,-0.75,0.9778530601811767,-0.09726400781854257
57223.676593502205,2.0712320805,2.0609707832,-1.645714283,0.9901161447444798,-0.043138578640227215
62802.914418342596,2.0642194748,2.0546300411,-0.9045225382,0.9907304821774576,-0.04044474700180595
68926.12104349709,2.070892334,2.0611906052,-1.983471036,0.9906523354377075,-0.040787322879300106
75646.3327554629,2.0645196438,2.0672163963,-2.1768708229,1.0026141807925282,0.011338429025989588
83021.75681319753,2.071110487,2.0608561039,-2.0878212452,0.9901222096466221,-0.043111976251400216
91116.27561154905,2.0647361279,2.0545156002,-2.6205642223,0.990124421664729,-0.04310227375028232
100000.0,2.0577478409,2.0608370304,-2.3423423767,1.0030047494236993,0.01302989494616831
